Id,Category
1,C
2,C
3,B
4,B
5,B
6,B
7,D
8,B
9,C
10,B
11,B
12,D
13,B
14,B
15,B
16,C
17,D
18,B
19,B
20,C
21,C
22,B
23,C
24,D
25,B
26,C
27,C
28,B
29,D
30,B
31,C
32,C
33,C
34,C
35,C
36,C
37,C
38,B
39,C
40,B
41,D
42,C
43,C
44,D
45,A
46,C
47,D
48,C
49,D
50,D
51,A
52,B
53,C
54,C
55,C
56,C
57,B
58,A
59,D
60,D
61,B
62,D
63,B
64,C
65,D
66,A
67,A
68,D
69,B
70,C
71,B
72,D
73,A
74,D
75,B
76,B
77,C
78,C
79,D
80,B
81,B
82,A
83,D
84,B
85,C
86,D
87,C
88,B
89,A
90,C
91,D
92,A
93,B
94,C
95,C
96,C
97,A
98,C
99,B
100,C
101,C
102,A
103,C
104,B
105,C
106,B
107,C
108,C
109,C
110,D
111,C
112,A
113,C
114,D
115,D
116,A
117,B
118,C
119,A
120,D
121,C
122,D
123,D
124,D
125,C
126,C
127,C
128,A
129,C
130,B
131,C
132,B
133,D
134,D
135,A
136,C
137,B
138,A
139,A
140,C
141,C
142,C
143,D
144,C
145,C
146,B
147,C
148,C
149,A
150,C
151,C
152,C
153,A
154,B
155,B
156,C
157,A
158,C
159,A
160,A
161,C
162,A
163,C
164,B
165,C
166,B
167,B
168,C
169,C
170,D
171,D
172,C
173,C
174,C
175,C
176,A
177,D
178,C
179,A
180,A
181,D
182,D
183,D
184,C
185,D
186,C
187,D
188,A
189,D
190,B
191,B
192,C
193,A
194,D
195,D
196,C
197,D
198,C
199,B
200,D
201,B
202,C
203,D
204,C
205,A
206,C
207,A
208,C
209,B
210,C
211,D
212,A
213,D
214,C
215,C
216,C
217,B
218,C
219,D
220,D
221,C
222,A
223,A
224,A
225,D
226,C
227,D
228,B
229,B
230,D
231,B
232,C
233,D
234,C
235,C
236,D
237,A
238,C
239,C
240,C
241,A
242,C
243,C
244,D
245,D
246,B
247,D
248,A
249,C
250,B
251,C
252,C
253,B
254,C
255,C
256,C
257,B
258,C
259,B
260,A
261,C
262,C
263,A
264,A
265,C
266,C
267,D
268,D
269,C
270,A
271,B
272,C
273,D
274,D
275,B
276,B
277,A
278,C
279,A
280,B
281,B
282,B
283,A
284,A
285,C
286,C
287,B
288,C
289,C
290,C
291,D
292,C
293,A
294,C
295,B
296,B
297,A
298,C
299,A
300,D
301,C
302,D
303,C
304,B
305,C
306,C
307,B
308,B
309,B
310,A
311,C
312,B
313,B
314,C
315,A
316,A
317,C
318,B
319,C
320,D
321,C
322,B
323,B
324,B
325,B
326,B
327,C
328,B
329,B
330,C
331,B
332,A
333,C
334,C
335,B
336,A
337,B
338,B
339,A
340,C
341,D
342,C
343,C
344,A
345,B
346,C
347,B
348,A
349,C
350,C
351,C
352,A
353,C
354,C
355,C
356,B
357,C
358,B
359,C
360,B
361,B
362,C
363,B
364,C
365,C
366,C
367,B
368,C
369,A
370,B
371,C
372,A
373,C
374,B
375,D
376,C
377,C
378,B
379,C
380,D
381,A
382,B
383,B
384,C
385,C
386,C
387,C
388,A
389,A
390,C
391,B
392,A
393,B
394,A
395,C
396,D
397,C
398,C
399,A
400,D
401,B
402,C
403,B
404,C
405,A
406,C
407,D
408,D
409,A
410,A
411,C
412,C
413,C
414,C
415,D
416,C
417,B
418,A
419,D
420,A
421,C
422,D
423,B
424,D
425,C
426,A
427,A
428,C
429,A
430,C
431,A
432,C
433,A
434,B
435,C
436,C
437,B
438,C
439,C
440,C
441,C
442,A
443,D
444,B
445,D
446,A
447,A
448,C
449,A
450,C
451,B
452,C
453,B
454,C
455,D
456,C
457,D
458,C
459,D
460,A
461,A
462,C
463,C
464,C
465,C
466,D
467,D
468,C
469,D
470,B
471,C
472,D
473,C
474,C
475,A
476,C
477,B
478,C
479,B
480,C
481,D
482,C
483,C
484,C
485,C
486,B
487,B
488,D
489,D
490,B
491,C
492,C
493,D
494,C
495,B
496,C
497,B
498,C
499,C
500,C
501,B
502,C
503,D
504,D
505,A
506,B
507,C
508,C
509,C
510,D
511,C
512,C
513,C
514,C
515,B
516,A
517,B
518,B
519,A
520,D
521,C
522,C
523,C
524,C
525,B
526,B
527,C
528,B
529,C
530,D
531,C
532,B
533,B
534,D
535,A
536,A
537,A
538,C
539,C
540,C
541,D
542,C
543,B
544,D
545,A
546,B
547,D
548,B
549,A
550,B
551,C
552,A
553,A
554,B
555,C
556,A
557,D
558,D
559,D
560,B
561,D
562,B
563,C
564,C
565,B
566,C
567,B
568,C
569,B
570,C
571,C
572,A
573,C
574,C
575,B
576,C
577,C
578,D
579,D
580,A
581,C
582,A
583,C
584,C
585,C
586,B
587,C
588,B
589,D
590,A
591,C
592,A
593,C
594,C
595,D
596,C
597,A
598,B
599,A
600,B
601,B
602,D
603,B
604,D
605,D
606,D
607,C
608,C
609,B
610,C
611,D
612,C
613,C
614,C
615,C
616,B
617,D
618,C
619,A
620,C
621,A
622,D
623,C
624,A
625,D
626,A
627,A
628,B
629,A
630,D
631,C
632,C
633,A
634,D
635,C
636,B
637,D
638,A
639,A
640,C
641,C
642,B
643,C
644,D
645,C
646,B
647,A
648,C
649,A
650,C
651,A
652,D
653,A
654,D
655,C
656,C
657,C
658,A
659,C
660,A
661,C
662,C
663,C
664,B
665,C
666,B
667,B
668,B
669,C
670,B
671,B
672,A
673,C
674,D
675,C
676,D
677,D
678,A
679,C
680,D
681,B
682,C
683,A
684,D
685,C
686,D
687,B
688,D
689,C
690,B
691,B
692,A
693,D
694,B
695,C
696,C
697,A
698,C
699,B
700,D
701,A
702,C
703,C
704,B
705,D
706,D
707,C
708,A
709,C
710,A
711,C
712,A
713,B
714,C
715,D
716,C
717,B
718,D
719,A
720,B
721,C
722,C
723,C
724,A
725,D
726,C
727,A
728,A
729,A
730,C
731,A
732,C
733,B
734,C
735,B
736,A
737,C
738,B
739,A
740,C
741,D
742,A
743,A
744,A
745,C
746,C
747,A
748,B
749,A
750,A
751,C
752,C
753,C
754,B
755,A
756,B
757,B
758,A
759,C
760,B
761,C
762,C
763,B
764,C
765,A
766,A
767,A
768,D
769,C
770,C
771,D
772,B
773,A
774,B
775,D
776,B
777,C
778,C
779,C
780,A
781,A
782,A
783,B
784,C
785,C
786,A
787,C
788,C
789,C
790,C
791,C
792,B
793,D
794,A
795,A
796,A
797,A
798,C
799,C
800,A
801,C
802,B
803,A
804,B
805,B
806,C
807,C
808,B
809,C
810,C
811,D
812,D
813,A
814,C
815,B
816,C
817,C
818,A
819,D
820,C
821,D
822,B
823,D
824,C
825,C
826,D
827,C
828,C
829,C
830,C
831,C
832,D
833,B
834,D
835,D
836,D
837,D
838,D
839,C
840,C
841,C
842,C
843,C
844,C
845,C
846,C
847,D
848,C
849,B
850,B
851,B
852,C
853,B
854,B
855,B
856,D
857,B
858,C
859,C
860,C
861,B
862,C
863,B
864,D
865,B
866,C
867,D
868,A
869,C
870,B
871,C
872,B
873,A
874,C
875,D
876,C
877,C
878,D
879,C
880,C
881,B
882,C
883,B
884,D
885,C
886,D
887,B
888,C
889,C
890,D
891,A
892,A
893,B
894,C
895,B
896,B
897,C
898,B
899,C
900,D
901,A
902,C
903,D
904,A
905,B
906,C
907,D
908,C
909,C
910,B
911,D
912,D
913,B
914,C
915,D
916,D
917,C
918,C
919,D
920,B
921,A
922,D
923,B
924,C
925,D
926,C
927,C
928,A
929,C
930,C
931,D
932,A
933,A
934,C
935,B
936,B
937,C
938,C
939,C
940,D
941,B
942,C
943,A
944,C
945,C
946,B
947,C
948,D
949,C
950,C
951,C
952,C
953,C
954,A
955,B
956,B
957,D
958,A
959,A
960,B
961,D
962,C
963,D
964,B
965,C
966,C
967,A
968,D
969,C
970,C
971,A
972,C
973,C
974,C
975,B
976,C
977,A
978,B
979,B
980,C
981,C
982,B
983,B
984,C
985,C
986,C
987,B
988,D
989,C
990,C
991,C
992,A
993,D
994,A
995,A
996,A
997,C
998,B
999,C
1000,A
1001,B
1002,A
1003,C
1004,A
1005,C
1006,C
1007,B
1008,C
1009,C
1010,D
1011,C
1012,A
1013,C
1014,D
1015,C
1016,A
1017,C
1018,B
1019,D
1020,C
1021,D
1022,D
1023,C
1024,D
1025,C
1026,B
1027,C
1028,A
1029,C
1030,C
1031,B
1032,B
1033,D
1034,D
1035,C
1036,C
1037,D
1038,C
1039,B
1040,D
1041,A
1042,C
1043,C
1044,C
1045,B
1046,C
1047,A
1048,A
1049,B
1050,C
1051,C
1052,D
1053,C
1054,C
1055,D
1056,D
1057,A
1058,C
1059,A
1060,C
1061,A
1062,C
1063,A
1064,B
1065,C
1066,C
1067,A
1068,D
1069,C
1070,B
1071,C
1072,C
1073,C
1074,C
1075,C
1076,C
1077,C
1078,B
1079,A
1080,C
1081,B
1082,D
1083,B
1084,C
1085,D
1086,B
1087,C
1088,C
1089,C
1090,C
1091,C
1092,C
1093,D
1094,B
1095,D
1096,C
1097,D
1098,C
1099,C
1100,B
1101,D
1102,A
1103,C
1104,D
1105,B
1106,D
1107,D
1108,C
1109,B
1110,A
1111,C
1112,C
1113,C
1114,C
1115,A
1116,C
1117,C
1118,B
1119,B
1120,B
1121,B
1122,C
1123,A
1124,C
1125,C
1126,C
1127,C
1128,C
1129,C
1130,D
1131,C
1132,B
1133,D
1134,B
1135,B
1136,D
1137,C
1138,B
1139,C
1140,C
1141,D
1142,C
1143,C
1144,D
1145,B
1146,C
1147,C
1148,C
1149,A
1150,A
1151,C
1152,B
1153,C
1154,B
1155,A
1156,C
1157,C
1158,C
1159,C
1160,D
1161,C
1162,D
1163,C
1164,B
1165,C
1166,A
1167,C
1168,C
1169,D
1170,C
1171,C
1172,C
1173,A
1174,C
1175,A
1176,B
1177,A
1178,C
1179,C
1180,A
1181,D
1182,A
1183,C
1184,C
1185,C
1186,B
1187,D
1188,D
1189,C
1190,A
1191,A
1192,C
1193,C
1194,C
1195,D
1196,C
1197,B
1198,D
1199,B
1200,C
1201,C
1202,A
1203,D
1204,C
1205,C
1206,C
1207,C
1208,A
1209,A
1210,A
1211,C
1212,C
1213,D
1214,C
1215,D
1216,C
1217,C
1218,C
1219,A
1220,B
1221,D
1222,D
1223,C
1224,A
1225,D
1226,B
1227,D
1228,A
1229,B
1230,D
1231,C
1232,B
1233,C
1234,A
1235,C
1236,B
1237,D
1238,D
1239,C
1240,B
1241,B
1242,C
1243,C
1244,D
1245,C
1246,D
1247,D
1248,C
1249,C
1250,C
1251,A
1252,C
1253,B
1254,D
1255,B
1256,C
1257,C
1258,C
1259,C
1260,B
1261,B
1262,D
1263,C
1264,C
1265,C
1266,A
1267,B
1268,A
1269,C
